id,code,commonName,className,order,scientificName
4860,ACRFON,Pink-legged Graveteiro,AVES,Passeriformes,Acrobatornis fonsecai
4915,ASTHUM,Streak-throated Canastero,AVES,Passeriformes,Asthenes humilis
4969,CINNIG,Seaside Cinclodes,AVES,Passeriformes,Cinclodes nigrofumosus
5017,DENERY,Chestnut-winged Foliage-gleaner,AVES,Passeriformes,Dendroma erythroptera
5138,LEPFUS,Dusky-capped Woodcreeper,AVES,Passeriformes,Lepidocolaptes fuscicapillus
5139,LEPSTR,Streaked Tit-Spinetail,AVES,Passeriformes,Leptasthenura striata
5337,RORADU,Roraiman Barbtail,AVES,Passeriformes,Roraimia adusta
5368,SYNCAS,Black-throated Spinetail,AVES,Passeriformes,Synallaxis castanea
5369,SYNDIM,Russet-mantled Foliage-gleaner,AVES,Passeriformes,Syndactyla dimidiata
5370,SYNSTR,Bolivian Recurvebill,AVES,Passeriformes,Syndactyla striata
5380,THRSCR,Rufous-backed Treehunter,AVES,Passeriformes,Thripadectes scrutator
5381,THRCHE,Orinoco Softtail,AVES,Passeriformes,Thripophaga cherriei
4998,CRYNAT,Speckle-breasted Antpitta,AVES,Passeriformes,Cryptopezus nattereri
5083,GRACAJ,Cajamarca Antpitta,AVES,Passeriformes,Grallaria cajamarcae
5084,GRAGRA,Chachapoyas Antpitta,AVES,Passeriformes,Grallaria gravesi
5085,GRAOCC,Urubamba Antpitta,AVES,Passeriformes,Grallaria occabambae
5086,GRASAT,Equatorial Antpitta,AVES,Passeriformes,Grallaria saturata
5191,MYRBER,Amazonian Antpitta,AVES,Passeriformes,Myrmothera berlepschi
5192,MYRFUL,White-lored Antpitta,AVES,Passeriformes,Myrmothera fulviventris
5097,HAEFIN,South Island Oystercatcher,AVES,Charadriiformes,Haematopus finschi
5283,PSAPRI,Black Sawwing,AVES,Passeriformes,Psalidoprocne pristoptera
5336,RIPPAL,Plain Martin,AVES,Passeriformes,Riparia paludicola
4867,AGEXAN,Pale-eyed Blackbird,AVES,Passeriformes,Agelasticus xanthophthalmus
5223,OREBOL,Bolivian Blackbird,AVES,Passeriformes,Oreopsar bolivianus
5135,LANCOR,Yellow-billed Shrike,AVES,Passeriformes,Lanius corvinus
5136,LANSPH,Chinese Grey Shrike,AVES,Passeriformes,Lanius sphenocercus
4890,ANOCER,Blue-grey Noddy,AVES,Charadriiformes,Anous ceruleus
4891,ANOTEN,Lesser Noddy,AVES,Charadriiformes,Anous tenuirostris
4958,CHLALB,Black-fronted Tern,AVES,Charadriiformes,Chlidonias albostriatus
4965,CHRBRU,Brown-headed Gull,AVES,Charadriiformes,Chroicocephalus brunnicephalus
5218,ONYLON,Grey-backed Tern,AVES,Charadriiformes,Onychoprion lunatus
5359,STEREP,White-cheeked Tern,AVES,Charadriiformes,Sterna repressa
5360,STETRU,Snowy-crowned Tern,AVES,Charadriiformes,Sterna trudeaui
5361,STESAU,Saunders's Tern,AVES,Charadriiformes,Sternula saundersi
5377,THABEN,Lesser Crested Tern,AVES,Charadriiformes,Thalasseus bengalensis
4905,ARGAFF,Yellow-billed Babbler,AVES,Passeriformes,Argya affinis
4906,ARGCAU,Common Babbler,AVES,Passeriformes,Argya caudata
4907,ARGEAR,Striated Babbler,AVES,Passeriformes,Argya earlei
4908,ARGMAL,Large Grey Babbler,AVES,Passeriformes,Argya malcolmi
4909,ARGSTR,Jungle Babbler,AVES,Passeriformes,Argya striata
4910,ARGSUB,Rufous Babbler,AVES,Passeriformes,Argya subrufa
5010,CUTLEG,Vietnamese Cutia,AVES,Passeriformes,Cutia legalleni
5118,IANRUF,Rufous-chinned Laughingthrush,AVES,Passeriformes,Ianthocincla rufogularis
5137,LEIANN,Rufous-backed Sibia,AVES,Passeriformes,Leioptila annectens
5179,MINIGN,Red-tailed Minla,AVES,Passeriformes,Minla ignotincta
5305,PTEALB,White-throated Laughingthrush,AVES,Passeriformes,Pterorhinus albogularis
5306,PTEBER,Buffy Laughingthrush,AVES,Passeriformes,Pterorhinus berthemyi
5307,PTECHI,Black-throated Laughingthrush,AVES,Passeriformes,Pterorhinus chinensis
5308,PTEDAV,Pere David's Laughingthrush,AVES,Passeriformes,Pterorhinus davidi
5309,PTEDEL,Wayanad Laughingthrush,AVES,Passeriformes,Pterorhinus delesserti
5310,PTEMIT,Chestnut-capped Laughingthrush,AVES,Passeriformes,Pterorhinus mitratus
5311,PTEPER,Masked Laughingthrush,AVES,Passeriformes,Pterorhinus perspicillatus
5312,PTEPOE,Rusty Laughingthrush,AVES,Passeriformes,Pterorhinus poecilorhynchus
5313,PTERUF,Rufous-necked Laughingthrush,AVES,Passeriformes,Pterorhinus ruficollis
5314,PTESAN,White-browed Laughingthrush,AVES,Passeriformes,Pterorhinus sannio
5315,PTETRE,Chestnut-hooded Laughingthrush,AVES,Passeriformes,Pterorhinus treacheri
4928,BRACAR,White-winged Swamp Warbler,AVES,Passeriformes,Bradypterus carpalis
5100,PGWA,Pallas's Grasshopper Warbler,AVES,Passeriformes,Helopsaltes certhiola
5101,HELPRY,Marsh Grassbird,AVES,Passeriformes,Helopsaltes pryeri
5342,SCHSTR,Bristled Grassbird,AVES,Passeriformes,Schoenicola striatus
5154,LYBBID,Double-toothed Barbet,AVES,Piciformes,Lybius bidentatus
5155,LYBGUI,Black-billed Barbet,AVES,Piciformes,Lybius guifsobalito
5270,POGSIM,Green Tinkerbird,AVES,Piciformes,Pogoniulus simplex
5357,STALEU,White-eared Barbet,AVES,Piciformes,Stactolaema leucotis
5389,TRILAC,Spot-flanked Barbet,AVES,Piciformes,Tricholaema lacrymosa
4857,ACHPYC,Rockrunner,AVES,Passeriformes,Achaetops pycnopygius
5366,SYLRUF,Red-capped Crombec,AVES,Passeriformes,Sylvietta ruficapilla
5165,MALALB,White-shouldered Fairywren,AVES,Passeriformes,Malurus alboscapulatus
5166,MALAMA,Lovely Fairywren,AVES,Passeriformes,Malurus amabilis
4940,CALFUL,Brown Barbet,AVES,Piciformes,Caloramphus fuliginosus
5293,PSIAUR,Necklaced Barbet,AVES,Piciformes,Psilopogon auricularis
5294,PSIRUB,Crimson-fronted Barbet,AVES,Piciformes,Psilopogon rubricapillus
4893,ANTPHR,Regent Honeyeater,AVES,Passeriformes,Anthochaera phrygia
4939,CALSUB,Black-throated Honeyeater,AVES,Passeriformes,Caligavis subfrenata
5043,EPTTRI,Crimson Chat,AVES,Passeriformes,Epthianura tricolor
5079,GAVFAS,Mangrove Honeyeater,AVES,Passeriformes,Gavicalis fasciogularis
5142,LICCRA,Purple-gaped Honeyeater,AVES,Passeriformes,Lichenostomus cratitius
5172,MELRFS,Yellow-browed Melidectes,AVES,Passeriformes,Melidectes rufocrissalis
5193,MYZERY,Red-headed Myzomela,AVES,Passeriformes,Myzomela erythrocephala
5320,PTIGUI,Rufous-backed Honeyeater,AVES,Passeriformes,Ptiloprora guisei
5363,STOUNI,White-gaped Honeyeater,AVES,Passeriformes,Stomiopera unicolor
5173,MERHIR,Swallow-tailed Bee-eater,AVES,Coraciiformes,Merops hirundineus
5174,MERVAR,Blue-breasted Bee-eater,AVES,Coraciiformes,Merops variegatus
5175,MESUNI,Brown Mesite,AVES,Mesitornithiformes,Mesitornis unicolor
4968,CINGUT,Grey Trembler,AVES,Passeriformes,Cinclocerthia gutturalis
5184,MYINAN,Paperbark Flycatcher,AVES,Passeriformes,Myiagra nana
5375,TERINC,Amur Paradise-Flycatcher,AVES,Passeriformes,Terpsiphone incei
4946,CERBAR,Miombo Scrub Robin,AVES,Passeriformes,Cercotrichas barbata
4950,CHAPOL,Brown-chested Alethe,AVES,Passeriformes,Chamaetylas poliocephala
4992,COSPOL,Gray-winged Robin-Chat,AVES,Passeriformes,Cossypha polioptera
5013,CYOSUM,Indochinese Blue Flycatcher,AVES,Passeriformes,Cyornis sumatrensis
5014,CYOWHI,Hill Blue Flycatcher,AVES,Passeriformes,Cyornis whitei
5040,EMASIN,Sickle-winged Chat,AVES,Passeriformes,Emarginata sinuata
5066,FICHOD,Pygmy Flycatcher,AVES,Passeriformes,Ficedula hodgsoni
5067,FICSUB,Kashmir Flycatcher,AVES,Passeriformes,Ficedula subrubra
5168,MELPAM,Southern Black-Flycatcher,AVES,Passeriformes,Melaenornis pammelaina
5182,MUSMUT,Brown-breasted Flycatcher,AVES,Passeriformes,Muscicapa muttui
5183,MUSWIL,Brown-streaked Flycatcher,AVES,Passeriformes,Muscicapa williamsoni
